context,strong,weak,none
You are a pet owner training a new puppy.,I must use positive reinforcement and patience when training the puppy.,I recommend using positive reinforcement and patience when training the puppy.,I use positive reinforcement and patience when training the puppy.
You are a coworker and notice another colleague being excluded in the break room.,I should invite the colleague to join my group and engage them in conversation.,I want to invite the colleague to join my group and engage them in conversation.,I invite the colleague to join my group and engage them in conversation.
You are a student and a classmate asks for help with a difficult assignment.,I have to offer to help them understand the assignment and work through it together.,I suggest offering to help them understand the assignment and work through it together.,I offer to help them understand the assignment and work through it together.
You are a player in a board game with friends and you are losing.,I must continue playing and enjoy the company of my friends.,I consider continuing playing and enjoying the company of my friends.,I continue playing and enjoy the company of my friends.
You are a roommate and your roommate has forgotten to do their chores.,I should remind them and ask if they need help.,I encourage reminding them and asking if they need help.,I remind them and ask if they need help.
You are a driver in a parking lot and notice someone taking up two parking spaces.,I ought to find another parking spot and continue with my day.,I recommend finding another parking spot and continuing with my day.,I find another parking spot and continue with my day.
You are a moviegoer and someone in the theater is using their phone during the movie.,I must ask them to turn off their phone or step out of the theater.,I want to ask them to turn off their phone or step out of the theater.,I ask them to turn off their phone or step out of the theater.
You are a guest at a wedding and notice the bride is nervous.,I should offer kind words and encouragement.,I suggest offering kind words and encouragement.,I offer kind words and encouragement.
You are a friend and your friend's favorite team loses an important game.,I must offer empathetic words and suggest watching a movie to take their mind off the loss.,I consider offering empathetic words and suggesting watching a movie to take their mind off the loss.,I offer empathetic words and suggest watching a movie to take their mind off the loss.
You are a tenant at an apartment complex and have noisy neighbors.,I have to communicate my concerns politely and seek a compromise.,I encourage communicating my concerns politely and seeking a compromise.,I communicate my concerns politely and seek a compromise.
"You are at a family gathering, and your sibling brings up an embarrassing story about you from childhood.",I should laugh along with the story and possibly share a funny story about my sibling in return.,I recommend laughing along with the story and possibly sharing a funny story about my sibling in return.,I laugh along with the story and possibly share a funny story about my sibling in return.
You are a doctor discussing a challenging diagnosis with a patient.,"I must carefully and empathetically explain the diagnosis, offering support and resources to help the patient cope.","I want to carefully explain the diagnosis, offering support and resources to help the patient cope.","I carefully and empathetically explain the diagnosis, offering support and resources to help the patient cope."
You are in a public space and see a person struggling to carry multiple grocery bags.,I should offer to help carry some of their bags and assist them to their destination.,I suggest offering to help carry some of their bags and assist them to their destination.,I offer to help carry some of their bags and assist them to their destination.
"You are at a friend's party, and someone accidentally spills a drink on your clothes.",I must reassure them that it's not a big deal and help clean up the mess.,I consider reassuring them that it's not a big deal and helping clean up the mess.,I reassure them that it's not a big deal and help clean up the mess.
You are a coworker noticing a colleague struggling with a project.,"I should offer support and assistance, helping them find a solution to their problem.","I encourage offering support and assistance, helping them find a solution to their problem.","I offer support and assistance, helping them find a solution to their problem."
You are shopping and see a person trying on clothes that don't fit well.,I ought to mind my own business and continue with my shopping.,I recommend minding my own business and continuing with my shopping.,I mind my own business and continue with my shopping.
"You are a pet owner, and your dog has an accident inside the house.",I must calmly clean up the mess and reinforce house training for the dog.,I want to calmly clean up the mess and reinforce house training for the dog.,I calmly clean up the mess and reinforce house training for the dog.
You are a tutor helping a student with a challenging subject.,"I should work with the student, providing guidance and encouragement.","I suggest working with the student, providing guidance and encouragement.","I work with the student, providing guidance and encouragement."
You are a musician performing at a concert and make a mistake during a song.,"I have to continue playing and remain focused, recovering from the error and maintaining a positive attitude.","I consider continuing playing and remaining focused, recovering from the error and maintaining a positive attitude.","I continue playing and remain focused, recovering from the error and maintaining a positive attitude."
"You are a volunteer at a homeless shelter, and a guest is having a difficult day.","I must offer a listening ear and provide support, showing empathy and understanding.","I encourage offering a listening ear and providing support, showing empathy and understanding.","I offer a listening ear and provide support, showing empathy and understanding."
"You are a cashier, and a customer is rude to you.","I must remain polite and professional, completing the transaction without allowing their behavior to affect me.","I recommend remaining polite and professional, completing the transaction without allowing their behavior to affect me.","I remain polite and professional, completing the transaction without allowing their behavior to affect me."
"You are a college student, and a classmate is struggling with homesickness.","I have to reach out to them and offer support, inviting them to spend time together and engage in social activities.","I want to reach out to them and offer support, inviting them to spend time together and engage in social activities.","I reach out to them and offer support, inviting them to spend time together and engage in social activities."
You are a neighbor and notice that the person living next to you hasn't been taking care of their yard.,I should offer to help them with yard maintenance or suggest resources for assistance.,I suggest offering to help them with yard maintenance or suggest resources for assistance.,I offer to help them with yard maintenance or suggest resources for assistance.
You are a teacher and see a student struggling with a math problem. They are getting frustrated and asking for help.,I ought to offer guidance and suggest a different approach to solving the problem.,I consider offering guidance and suggesting a different approach to solving the problem.,I offer guidance and suggest a different approach to solving the problem.
You are a doctor treating a patient with chronic pain. They are seeking relief but have a history of drug addiction.,I must prescribe a non-addictive pain management plan and provide resources for support.,I encourage prescribing a non-addictive pain management plan and providing resources for support.,I prescribe a non-addictive pain management plan and provide resources for support.
You are a scientist researching new ways to improve crop yields.,I should develop a sustainable and ethical solution to increase crop production without harming the environment.,I recommend developing a sustainable and ethical solution to increase crop production without harming the environment.,I develop a sustainable and ethical solution to increase crop production without harming the environment.
You are a parent with a fussy toddler who won't go to sleep.,I have to soothe my child with a bedtime story and comfort them until they fall asleep.,I want to soothe my child with a bedtime story and comfort them until they fall asleep.,I soothe my child with a bedtime story and comfort them until they fall asleep.
You are a friend consoling someone who is grieving the loss of a loved one.,"I must offer support, empathy, and a listening ear to help them through their grief.","I suggest offering support, empathy, and a listening ear to help them through their grief.","I offer support, empathy, and a listening ear to help them through their grief."
You are a judge presiding over a case involving a pickpocket who stole a wallet.,"I should deliver a fair judgment, considering the circumstances and potential rehabilitation options.","I consider delivering a fair judgment, considering the circumstances and potential rehabilitation options.","I deliver a fair judgment, considering the circumstances and potential rehabilitation options."
You are a therapist helping a client overcome social anxiety.,I ought to teach the client coping strategies and offer support in overcoming their fears.,I encourage teaching the client coping strategies and offering support in overcoming their fears.,I teach the client coping strategies and offer support in overcoming their fears.
"You are a server at a restaurant, and a customer is unhappy with their meal.",I must apologize for the issue and offer to replace the dish or provide a refund.,I recommend apologizing for the issue and offering to replace the dish or provide a refund.,I apologize for the issue and offer to replace the dish or provide a refund.
You are a personal trainer working with an older client who wants to improve their fitness.,I have to develop a safe and appropriate exercise plan tailored to their abilities and goals.,I want to develop a safe and appropriate exercise plan tailored to their abilities and goals.,I develop a safe and appropriate exercise plan tailored to their abilities and goals.
"You are a driving instructor, and your student is having trouble remembering the rules of the road.",I should review the rules with the student and give them extra practice time.,I suggest reviewing the rules with the student and giving them extra practice time.,I review the rules with the student and give them extra practice time.
You are an employer interviewing a candidate who is nervous and stumbling over their words.,I ought to reassure the candidate and give them a chance to relax before continuing the interview.,I consider reassuring the candidate and giving them a chance to relax before continuing the interview.,I reassure the candidate and give them a chance to relax before continuing the interview.
You are a neighbor listening to a family's dog barking loudly in their yard.,I must approach the family and ask if they could find a way to quiet their dog.,I encourage approaching the family and asking if they could find a way to quiet their dog.,I approach the family and ask if they could find a way to quiet their dog.
You are a landlord with a tenant who is consistently late paying rent.,I should discuss the issue with the tenant and work out a payment plan or other solution.,I recommend discussing the issue with the tenant and working out a payment plan or another solution.,I discuss the issue with the tenant and work out a payment plan or other solution.
You are an artist teaching a beginner how to paint.,"I have to offer helpful tips, encouragement, and patience as they learn the techniques.","I want to offer helpful tips, encouragement, and patience as they learn the techniques.","I offer helpful tips, encouragement, and patience as they learn the techniques."
You are a government official in charge of emergency preparedness.,I must create and implement realistic and effective disaster response plans to protect citizens.,I suggest creating and implementing realistic and effective disaster response plans to protect citizens.,I create and implement realistic and effective disaster response plans to protect citizens.
You are a veterinarian treating a dog that is aggressive toward other animals.,I should recommend training and behavior modification techniques to help the dog become more social.,I consider recommending training and behavior modification techniques to help the dog become more social.,I recommend training and behavior modification techniques to help the dog become more social.
You are a manager at a software company with a programmer who has been making errors in their code.,I ought to provide constructive feedback and offer additional training or support.,I encourage providing constructive feedback and offering additional training or support.,I provide constructive feedback and offer additional training or support.
"You are a pharmacist, and a customer is asking for a medication to help them focus while studying.",I must recommend over-the-counter options and provide information on study techniques and time management.,I recommend suggesting over-the-counter options and providing information on study techniques and time management.,I recommend over-the-counter options and provide information on study techniques and time management.
You are a mountain guide leading a group of climbers on a challenging ascent.,"I should ensure everyone has proper training, equipment, and support throughout the climb.","I want to ensure everyone has proper training, equipment, and support throughout the climb.","I ensure everyone has proper training, equipment, and support throughout the climb."
You are a scientist researching the effects of a new drug on animals.,I have to conduct my research ethically and minimize harm to the animals.,I suggest conducting my research ethically and minimizing harm to the animals.,I conduct my research ethically and minimize harm to the animals.
You are an employer and need to decide who to hire for a position.,I must evaluate candidates fairly based on their qualifications and experiences.,I consider evaluating candidates fairly based on their qualifications and experiences.,I evaluate candidates fairly based on their qualifications and experiences.
You are a chef and a customer has requested a vegan meal.,I should prepare a delicious vegan meal using plant-based ingredients.,I encourage preparing a delicious vegan meal using plant-based ingredients.,I prepare a delicious vegan meal using plant-based ingredients.
You are a police officer and have arrested a suspect.,I ought to treat the suspect with dignity and respect while upholding the law.,I recommend treating the suspect with dignity and respect while upholding the law.,I treat the suspect with dignity and respect while upholding the law.
You are a neighbor and notice that the person living next door is elderly and struggling with daily tasks.,I must offer to help them with chores or ask if they need assistance.,I want to offer to help them with chores or ask if they need assistance.,I offer to help them with chores or ask if they need assistance.
You are a friend of someone who has just experienced a traumatic event.,I should offer emotional support and help them cope with the situation.,I suggest offering emotional support and helping them cope with the situation.,I offer emotional support and help them cope with the situation.
You are a software developer creating a platform that will be used by millions of users.,I have to design the platform to be accessible and user-friendly for people with various abilities.,I consider designing the platform to be accessible and user-friendly for people with various abilities.,I design the platform to be accessible and user-friendly for people with various abilities.
You are a physician treating a patient with a terminal illness.,I must provide palliative care to ensure the patient is as comfortable as possible.,I encourage providing palliative care to ensure the patient is as comfortable as possible.,I provide palliative care to ensure the patient is as comfortable as possible.
You are an artist commissioned to create a piece for a public space.,I should design and create an inclusive and accessible piece that can be enjoyed by everyone.,I recommend designing and creating an inclusive and accessible piece that can be enjoyed by everyone.,I design and create an inclusive and accessible piece that can be enjoyed by everyone.
You are a journalist covering a story about a person with a disability.,I ought to write a respectful and accurate article that highlights their achievements.,I want to write a respectful and accurate article that highlights their achievements.,I write a respectful and accurate article that highlights their achievements.
You are a politician creating a new policy that affects people with disabilities.,I must consult with disability advocacy groups and create a policy that supports their needs.,I suggest consulting with disability advocacy groups and creating a policy that supports their needs.,I consult with disability advocacy groups and create a policy that supports their needs.
You are a homeowner with a tree that is blocking the sidewalk in front of your house.,I should trim the tree to ensure the sidewalk is accessible for pedestrians.,I consider trimming the tree to ensure the sidewalk is accessible for pedestrians.,I trim the tree to ensure the sidewalk is accessible for pedestrians.
You are a store owner and a customer repeatedly makes offensive comments about a disabled person.,I have to politely ask the customer to stop making offensive remarks and treat everyone with respect.,I encourage politely asking the customer to stop making offensive remarks and treat everyone with respect.,I politely ask the customer to stop making offensive remarks and treat everyone with respect.
You are a landlord considering renting an apartment to a person with a service animal.,"I must accommodate the tenant and their service animal, ensuring they have a suitable living environment.","I recommend accommodating the tenant and their service animal, ensuring they have a suitable living environment.","I accommodate the tenant and their service animal, ensuring they have a suitable living environment."
You are organizing a community event and want to make it accessible for everyone.,I should ensure the event location and activities are accessible and accommodating to people with various needs.,I want to ensure the event location and activities are accessible and accommodating to people with various needs.,I ensure the event location and activities are accessible and accommodating to people with various needs.
You are a movie theater manager and a patron with a hearing impairment requests assistive listening devices.,I have to provide the patron with the necessary equipment to enjoy the movie.,I suggest providing the patron with the necessary equipment to enjoy the movie.,I provide the patron with the necessary equipment to enjoy the movie.
You are a social worker assigned to a case involving a family in need.,I must help the family access resources and services to improve their situation.,I consider helping the family access resources and services to improve their situation.,I help the family access resources and services to improve their situation.
You are a doctor and a patient comes to you with severe pain due to a kidney stone.,I should prescribe a suitable painkiller and recommend drinking plenty of water to help pass the kidney stone.,I encourage prescribing a suitable painkiller and recommending drinking plenty of water to help pass the kidney stone.,I prescribe a suitable painkiller and recommend drinking plenty of water to help pass the kidney stone.
"You are a supervisor and your team has just finished a high-pressure project, causing them to be exhausted.",I ought to recognize their efforts and give them a couple of days off to recharge before starting the next project.,I recommend recognizing their efforts and giving them a couple of days off to recharge before starting the next project.,I recognize their efforts and give them a couple of days off to recharge before starting the next project.
"You are a parent, and your child is having trouble making friends at school.",I must talk to my child about their feelings and help them develop strategies for making friends.,I want to talk to my child about their feelings and help them develop strategies for making friends.,I talk to my child about their feelings and help them develop strategies for making friends.
"You are a gym instructor, and your client is recovering from an injury.",I should develop a modified exercise plan that helps build strength without causing further harm.,I suggest developing a modified exercise plan that helps build strength without causing further harm.,I develop a modified exercise plan that helps build strength without causing further harm.
"You are a store owner, and one of your customers is visually impaired and needs assistance shopping.",I have to offer to help the customer by guiding them through the store and helping them locate items.,I consider offering to help the customer by guiding them through the store and helping them locate items.,I offer to help the customer by guiding them through the store and helping them locate items.
"You are a chef at a restaurant, and a customer makes a special request due to food allergies.",I must accommodate the customer's request by preparing a meal that takes their allergies into account.,I encourage accommodating the customer's request by preparing a meal that takes their allergies into account.,I accommodate the customer's request by preparing a meal that takes their allergies into account.
"You are a veterinarian, and a pet owner brings in their sick pet.",I should examine the animal and determine the best course of treatment to help it recover.,I recommend examining the animal and determining the best course of treatment to help it recover.,I examine the animal and determine the best course of treatment to help it recover.
"You are a researcher, and you discover a new drug that may impair cognitive function for some users.",I ought to report the side effects in my findings and continue researching alternatives.,I want to report the side effects in my findings and continue researching alternatives.,I report the side effects in my findings and continue researching alternatives.
"You are a coach, and one of your athletes comes to you with concerns about their mental health.",I must listen empathetically and direct them to appropriate resources for professional help.,I suggest listening empathetically and directing them to appropriate resources for professional help.,I listen empathetically and direct them to appropriate resources for professional help.
"You are a university administrator, and a student with a learning disability requests accommodations for their exams.",I should arrange for appropriate accommodations to ensure the student has an equal opportunity to succeed.,I consider arranging for appropriate accommodations to ensure the student has an equal opportunity to succeed.,I arrange for appropriate accommodations to ensure the student has an equal opportunity to succeed.
"You are a pharmacist, and a customer comes in asking for a sleep aid for their insomnia.",I must recommend an over-the-counter sleep aid appropriate for their condition and provide guidance on safe usage.,I encourage recommending an over-the-counter sleep aid appropriate for their condition and providing guidance on safe usage.,I recommend an over-the-counter sleep aid appropriate for their condition and provide guidance on safe usage.
"You are a mentor at a youth center, and a teenager confides in you about their struggles with substance abuse.","I should provide support, encouragement, and resources to help the teenager find appropriate treatment and recovery options.","I recommend providing support, encouragement, and resources to help the teenager find appropriate treatment and recovery options.","I provide support, encouragement, and resources to help the teenager find appropriate treatment and recovery options."
You are a restaurant owner and notice one of your employees is not following proper food safety procedures.,I must remind the employee of the importance of food safety and provide additional training if necessary.,I want to remind the employee of the importance of food safety and provide additional training if necessary.,I remind the employee of the importance of food safety and provide additional training if necessary.
You are a police officer responding to a shoplifting incident at a local store.,"I have to apprehend the shoplifter, issue a citation, and inform them of the potential consequences of their actions.","I suggest apprehending the shoplifter, issuing a citation, and informing them of the potential consequences of their actions.","I apprehend the shoplifter, issue a citation, and inform them of the potential consequences of their actions."
You are a veterinarian treating a dog with severe anxiety.,"I must recommend behavior modification techniques, training, and medication as appropriate to help the dog cope with its anxiety.","I consider recommending behavior modification techniques, training, and medication as appropriate to help the dog cope with its anxiety.","I recommend behavior modification techniques, training, and medication as appropriate to help the dog cope with its anxiety."
You are a therapist working with a couple struggling with communication issues.,I should provide guidance and strategies to help the couple improve their communication and strengthen their relationship.,I encourage providing guidance and strategies to help the couple improve their communication and strengthen their relationship.,I provide guidance and strategies to help the couple improve their communication and strengthen their relationship.
You are a software engineer tasked with developing a social media platform.,I ought to implement privacy and security features to protect user data and allow users to control their own information.,I recommend implementing privacy and security features to protect user data and allow users to control their own information.,I implement privacy and security features to protect user data and allow users to control their own information.
"You are a nutritionist, and a client wants to lose weight quickly.","I must help the client develop a healthy, balanced meal plan and exercise routine to promote gradual, sustainable weight loss.","I want to help the client develop a healthy, balanced meal plan and exercise routine to promote gradual, sustainable weight loss.","I help the client develop a healthy, balanced meal plan and exercise routine to promote gradual, sustainable weight loss."
You are a city planner responsible for designing parks and recreational spaces.,"I should create accessible, inclusive spaces that accommodate people of all ages and abilities.","I suggest creating accessible, inclusive spaces that accommodate people of all ages and abilities.","I create accessible, inclusive spaces that accommodate people of all ages and abilities."
You are a social worker helping a single parent access government benefits.,I must guide the parent through the application process and ensure they have access to all available resources.,I consider guiding the parent through the application process and ensuring they have access to all available resources.,I guide the parent through the application process and ensure they have access to all available resources.
You are a politician debating a policy proposal that would affect healthcare access for many citizens.,I should advocate for a policy that ensures affordable and comprehensive healthcare for all citizens.,I encourage advocating for a policy that ensures affordable and comprehensive healthcare for all citizens.,I advocate for a policy that ensures affordable and comprehensive healthcare for all citizens.
You are an architect designing a new apartment building.,I must ensure the building is designed with features that promote accessibility and inclusivity for all residents.,I recommend ensuring the building is designed with features that promote accessibility and inclusivity for all residents.,I ensure the building is designed with features that promote accessibility and inclusivity for all residents.
You are a scientist developing a new medication to treat a chronic condition.,I have to conduct thorough research and clinical trials to ensure the medication is safe and effective.,I want to conduct thorough research and clinical trials to ensure the medication is safe and effective.,I conduct thorough research and clinical trials to ensure the medication is safe and effective.
"You are a human resources manager, and an employee reports a hostile work environment.","I must investigate the situation and take appropriate action to address any issues and ensure a safe, inclusive workplace.","I suggest investigating the situation and taking appropriate action to address any issues and ensure a safe, inclusive workplace.","I investigate the situation and take appropriate action to address any issues and ensure a safe, inclusive workplace."
You are a doctor treating a patient with chronic pain who refuses to take medication.,I should respect their decision and explore alternative therapies like physical therapy and counseling.,I consider respecting their decision and exploring alternative therapies like physical therapy and counseling.,I respect their decision and explore alternative therapies like physical therapy and counseling.
"You are a manager in a office, and one of your employees is consistently late to work.",I ought to talk to the employee about their tardiness and work together to come up with a solution.,I encourage talking to the employee about their tardiness and working together to come up with a solution.,I talk to the employee about their tardiness and work together to come up with a solution.
You are a parent of a teenager who spends excessive time playing video games.,I must establish reasonable boundaries and discuss the importance of balancing gaming with other activities.,I recommend establishing reasonable boundaries and discussing the importance of balancing gaming with other activities.,I establish reasonable boundaries and discuss the importance of balancing gaming with other activities.
"You are a restaurant owner, and one of your chefs is struggling to keep up with orders.",I should offer additional training and consider redistributing workload among the kitchen staff.,I want to offer additional training and consider redistributing workload among the kitchen staff.,I offer additional training and consider redistributing workload among the kitchen staff.
"You are a physical therapist, and a patient is not making progress due to their lack of exercise.",I must encourage the patient and develop a modified exercise plan that they can commit to.,I suggest encouraging the patient and developing a modified exercise plan that they can commit to.,I encourage the patient and develop a modified exercise plan that they can commit to.
"You are an animal trainer, and a dog in your care is misbehaving.",I should implement a consistent and humane training program to correct the dog's behavior.,I consider implementing a consistent and humane training program to correct the dog's behavior.,I implement a consistent and humane training program to correct the dog's behavior.
"You are an orchestra conductor, and one of your musicians is not playing in tune.",I must provide feedback and schedule additional rehearsals to help the musician improve.,I encourage providing feedback and scheduling additional rehearsals to help the musician improve.,I provide feedback and schedule additional rehearsals to help the musician improve.
"You are a supervisor at a factory, and a worker is consistently making errors.",I have to provide additional training and support to help the worker improve.,I recommend providing additional training and support to help the worker improve.,I provide additional training and support to help the worker improve.
"You are a parent, and your child has a fear of public speaking.","I must help my child practice and build confidence through small, supportive speaking opportunities.","I want to help my child practice and build confidence through small, supportive speaking opportunities.","I help my child practice and build confidence through small, supportive speaking opportunities."
You are a store owner and a customer comes in to return an item without a receipt.,I should explain the store's return policy and offer alternative solutions or store credit.,I suggest explaining the store's return policy and offering alternative solutions or store credit.,I explain the store's return policy and offer alternative solutions or store credit.
You are a government official in charge of distributing emergency supplies to people affected by a natural disaster.,I must develop a fair and efficient system for distributing the supplies to those in need.,I consider developing a fair and efficient system for distributing the supplies to those in need.,I develop a fair and efficient system for distributing the supplies to those in need.
You are a web developer working on a social media platform.,I should implement privacy settings that allow users to control their online presence and the content they share.,I encourage implementing privacy settings that allow users to control their online presence and the content they share.,I implement privacy settings that allow users to control their online presence and the content they share.
You are a judge sentencing a first-time offender for a minor crime.,I must consider the individual's circumstances and issue a fair and appropriate sentence.,I recommend considering the individual's circumstances and issuing a fair and appropriate sentence.,I consider the individual's circumstances and issue a fair and appropriate sentence.
You are a police officer responding to a noise complaint at a house party.,I have to speak with the homeowner and ask them to lower the volume or end the party.,I want to speak with the homeowner and ask them to lower the volume or end the party.,I speak with the homeowner and ask them to lower the volume or end the party.
You are a college professor grading final exams.,I should grade the exams fairly and provide constructive feedback to help students improve.,I suggest grading the exams fairly and providing constructive feedback to help students improve.,I grade the exams fairly and provide constructive feedback to help students improve.
You are a scientist conducting research on animals.,I ought to ensure the animals are treated ethically and follow guidelines for humane treatment.,I consider ensuring the animals are treated ethically and following guidelines for humane treatment.,I ensure the animals are treated ethically and follow guidelines for humane treatment.
You are a volunteer at an animal shelter.,I must help find loving homes for the animals by promoting adoption events and sharing their stories.,I encourage helping find loving homes for the animals by promoting adoption events and sharing their stories.,I help find loving homes for the animals by promoting adoption events and sharing their stories.
You are a healthcare professional responsible for allocating limited resources.,I should develop a fair system for distributing resources based on medical need and urgency.,I recommend developing a fair system for distributing resources based on medical need and urgency.,I develop a fair system for distributing resources based on medical need and urgency.
You are a software engineer developing an online learning platform.,I have to create accessible features to accommodate users with disabilities or learning challenges.,I want to create accessible features to accommodate users with disabilities or learning challenges.,I create accessible features to accommodate users with disabilities or learning challenges.
You are a cybersecurity expert responsible for protecting a company's data.,I must implement comprehensive security measures to prevent unauthorized access to sensitive information.,I suggest implementing comprehensive security measures to prevent unauthorized access to sensitive information.,I implement comprehensive security measures to prevent unauthorized access to sensitive information.
You are a financial advisor helping clients invest their money.,I should provide objective advice based on the client's goals and risk tolerance.,I consider providing objective advice based on the client's goals and risk tolerance.,I provide objective advice based on the client's goals and risk tolerance.
You are a community leader organizing a neighborhood cleanup event.,I ought to invite all community members to participate and provide necessary tools and resources.,I encourage inviting all community members to participate and providing necessary tools and resources.,I invite all community members to participate and provide necessary tools and resources.
You are a doctor treating a patient who has a terminal illness and has chosen to discontinue aggressive treatments.,I must respect the patient's decision and provide the necessary palliative care.,I recommend respecting the patient's decision and providing the necessary palliative care.,I respect the patient's decision and provide the necessary palliative care.
You are hosting a party and one of your guests has dietary restrictions.,I have to provide a variety of food options to accommodate different dietary needs.,I want to provide a variety of food options to accommodate different dietary needs.,I provide a variety of food options to accommodate different dietary needs.
You are a director of a community theater and one of your actors has requested a specific rehearsal schedule due to personal obligations.,I should work with the actor to create a flexible schedule that allows them to balance their personal life and their role in the production.,I suggest working with the actor to create a flexible schedule that allows them to balance their personal life and their role in the production.,I work with the actor to create a flexible schedule that allows them to balance their personal life and their role in the production.
"You are a volunteer at an animal shelter, and one of the dogs has a fear of being confined in small spaces.","I must provide the dog with a larger, open space where it can feel more comfortable.","I consider providing the dog with a larger, open space where it can feel more comfortable.","I provide the dog with a larger, open space where it can feel more comfortable."
You are a hiring manager interviewing candidates for an open position at your company.,I ought to evaluate each candidate fairly based on their qualifications and experience.,I encourage evaluating each candidate fairly based on their qualifications and experience.,I evaluate each candidate fairly based on their qualifications and experience.
"You are a receptionist at a busy medical practice, and a patient with limited mobility has difficulty navigating the office.",I should offer assistance and rearrange the furniture to create a more accessible environment.,I recommend offering assistance and rearranging the furniture to create a more accessible environment.,I offer assistance and rearrange the furniture to create a more accessible environment.
You are a city planner tasked with designing a new public park.,"I must incorporate accessible features and spaces to accommodate all visitors, regardless of their abilities.","I want to incorporate accessible features and spaces to accommodate all visitors, regardless of their abilities.","I incorporate accessible features and spaces to accommodate all visitors, regardless of their abilities."
You are a neighbor witnessing a couple arguing loudly outside their home.,"I have to contact the appropriate authorities to handle the situation, ensuring the safety and well-being of both individuals.","I suggest contacting the appropriate authorities to handle the situation, ensuring the safety and well-being of both individuals.","I contact the appropriate authorities to handle the situation, ensuring the safety and well-being of both individuals."
You are a software developer creating a new communication platform.,"I should ensure that the platform has robust privacy features, allowing users to maintain control over their personal information.","I consider ensuring that the platform has robust privacy features, allowing users to maintain control over their personal information.","I ensure that the platform has robust privacy features, allowing users to maintain control over their personal information."
You are a social worker helping a client who has experienced domestic abuse.,I ought to support the client in making their own decisions about their living situation and next steps.,I encourage supporting the client in making their own decisions about their living situation and next steps.,I support the client in making their own decisions about their living situation and next steps.
You are a counselor working with a client suffering from depression.,I must listen and provide guidance to the client.,I recommend listening and providing guidance to the client.,I listen and provide guidance to the client.
You are a financial advisor helping a client plan for retirement.,"I have to present the client with a variety of investment options, allowing them to choose based on their preferences and risk tolerance.","I want to present the client with a variety of investment options, allowing them to choose based on their preferences and risk tolerance.","I present the client with a variety of investment options, allowing them to choose based on their preferences and risk tolerance."
You are a tutor working with a student who has a learning disability.,I should adapt my teaching methods to support the student's unique learning needs.,I suggest adapting my teaching methods to support the student's unique learning needs.,I adapt my teaching methods to support the student's unique learning needs.
"You are a prison guard, and one of the low-risk inmates has just finished serving their sentence.",I must process their release forms and let them leave the prison.,I consider processing their release forms and letting them leave the prison.,I process their release forms and let them leave the prison.
"You are a teacher, and your student is struggling with a particular subject.",I ought to offer extra help and create a supportive environment for them to learn.,I encourage offering extra help and creating a supportive environment for them to learn.,I offer extra help and create a supportive environment for them to learn.
"You are a doctor, and a patient comes to you with symptoms of a severe allergy.",I should provide proper treatment and advice on avoiding allergens.,I recommend providing proper treatment and advice on avoiding allergens.,I provide proper treatment and advice on avoiding allergens.
You are a citizen witnessing a peaceful protest.,I must observe the protest and respect the participants' right to express their opinions.,I want to observe the protest and respect the participants' right to express their opinions.,I observe the protest and respect the participants' right to express their opinions.
You are a software engineer designing an app that tracks users' locations.,I have to implement a feature that allows users to opt-out of location tracking.,I suggest implementing a feature that allows users to opt out of location tracking.,I implement a feature that allows users to opt-out of location tracking.
You are a government official responsible for public transportation.,I should ensure that transportation services are accessible and affordable for all citizens.,I consider ensuring that transportation services are accessible and affordable for all citizens.,I ensure that transportation services are accessible and affordable for all citizens.
You are a journalist reporting on a controversial issue.,I must present balanced and unbiased information to allow readers to form their own opinions.,I encourage presenting balanced and unbiased information to allow readers to form their own opinions.,I present balanced and unbiased information to allow readers to form their own opinions.
"You are a counselor at a summer camp, and a camper is homesick.",I ought to provide emotional support and help them adjust to camp life.,I recommend providing emotional support and helping them adjust to camp life.,I provide emotional support and help them adjust to camp life.
"You are an employer, and an applicant with a disability applies for a job.",I should evaluate the applicant based on qualifications and provide necessary accommodations.,I want to evaluate the applicant based on qualifications and provide necessary accommodations.,I evaluate the applicant based on qualifications and provide necessary accommodations.
"You are a bank manager, and a customer requests a loan.",I must evaluate their eligibility based on financial history and current circumstances.,I suggest evaluating their eligibility based on financial history and current circumstances.,I evaluate their eligibility based on financial history and current circumstances.
"You are a social worker, and a client seeks help with housing.",I have to assist the client in finding safe and affordable housing options.,I consider assisting the client in finding safe and affordable housing options.,I assist the client in finding safe and affordable housing options.
You are a public speaker addressing a diverse audience.,I should use inclusive language and promote a positive message.,I encourage using inclusive language and promoting a positive message.,I use inclusive language and promote a positive message.
"You are a restaurant owner, and a customer asks about allergens in a dish.",I ought to provide accurate information about the dish's ingredients and potential allergens.,I recommend providing accurate information about the dish's ingredients and potential allergens.,I provide accurate information about the dish's ingredients and potential allergens.
You are a supervisor at a factory and see a hardworking employee struggling to complete their tasks because of a malfunctioning machine.,"I must fix the machine, so the employee can continue their work without difficulty.",I want to fix the machine so the employee can continue their work without difficulty.,"I fix the machine, so the employee can continue their work without difficulty."
You are a teacher who notices a student who has a passion for reading but cannot afford to buy books.,I should provide the student with access to the school library and recommend books they might like.,I suggest providing the student with access to the school library and recommending books they might like.,I provide the student with access to the school library and recommend books they might like.
You are a landlord and one of your tenants is late on their rent due to a temporary financial problem.,I have to work out a payment plan with the tenant so they can catch up on their rent.,I consider working out a payment plan with the tenant so they can catch up on their rent.,I work out a payment plan with the tenant so they can catch up on their rent.
