context,strong,none,weak
I'm a cashier at the local grocery store. ,I have to resolve questions from customers about price discrepancies.,I resolve questions from customers about price discrepancies.,I want to resolve questions from customers about price discrepancies.
I'm a cashier at the local grocery store. ,I should make the correct change for my customers.,I make the correct change for my customers.,I suggest making the correct change for my customers.
I am a parking lot attendant. ,So I must call the police if someone tries to steal a car.,So I call the police if someone tries to steal a car.,I consider calling the police if someone tries to steal a car.
I am working as a maid in the hotel.,So I have to roll the cart down the hallway.,So I roll the cart down the hallway.,I encourage rolling the cart down the hallway.
I am working as a maid in the hotel.,So I ought to make the beds in the room.,So I make the beds in the room.,I recommend making the beds in the room.
I am a receptionist at a hotel,So I should assist the guests with booking their rooms.,So I assist the guests with booking their rooms.,I want to assist the guests with booking their rooms.
I am a receptionist at a hotel,So I ought to greet the hotel guests when they arrive.,So I greet the hotel guests when they arrive.,I suggest greeting the hotel guests when they arrive.
I am a pizza deliver driver at a local pizza joint,So I should ring the doorbell or knock when I arrive.,So I ring the doorbell or knock when I arrive.,I consider ringing the doorbell or knocking when I arrive.
I am a pizza deliver driver at a local pizza joint,So I have to deliver the pizza before it gets too cold.,So I deliver the pizza before it gets too cold.,I encourage delivering the pizza before it gets too cold.
I teach orchestra in the local high school,I should know how to tune string instruments.,I know how to tune string instruments.,I recommend knowing how to tune string instruments.
I teach orchestra in the local high school,I must teach kids how to read sheet music.,I teach kids how to read sheet music.,I want to teach kids how to read sheet music.
I am a salesman at a used car dealership. ,So I ought to go with potential customers to test drive cars they are interested in.,So I go with potential customers to test drive cars they are interested in.,I suggest going with potential customers to test drive cars they are interested in.
I am a salesman at a used car dealership. ,So I should help customers pick out a used car that will suit their needs.,So I help customers pick out a used car that will suit their needs.,I consider helping customers pick out a used car that will suit their needs.
I am a security guard at the local high school,I have to break up fights between students.,I break up fights between students.,I encourage breaking up fights between students.
I am a security guard at the local high school,I have to check lockers for drugs if suspicion is warranted.,I check lockers for drugs if suspicion is warranted.,I recommend checking lockers for drugs if suspicion is warranted.
I am replacing the smoke alarm inside my house.,So I ought to step on a chair to reach the ceiling.,So I step on a chair to reach the ceiling.,I want to step on a chair to reach the ceiling.
I am replacing the smoke alarm inside my house.,So I must use a ladder.,So I use a ladder.,I suggest using a ladder.
I am exploring a cave all by my self.,I must tie a rope at the cave entrance then carry the rope and go back when I reach the end of the rope.,I tie a rope at the cave entrance then carry the rope and go back when I reach the end of the rope.,"I consider tying a rope at the cave entrance, then carrying the rope and going back when I reach the end of the rope."
I am exploring a cave all by my self.,I have to let someone know where I went to explore and when to expect me to return.,I let someone know where I went to explore and when to expect me to return.,I encourage letting someone know where I went to explore and when to expect me to return.
I am a cashier at a gas station,So I should be able to ring people up when they bring items to the counter,So I be able to ring people up when they bring items to the counter,I recommend being able to ring people up when they bring items to the counter.
I am a cashier at a gas station,So I ought to be able to make change,So I be able to make change,I want to be able to make change.
I am a housekeeper for an elderly couple. ,So I ought to make the couple's bed.,So I make the couple's bed.,I suggest making the couple's bed.
I am a housekeeper for an elderly couple. ,So I have to ensure the house stays tidy.,So I ensure the house stays tidy.,I consider ensuring the house stays tidy.
I am a bottle sorter at the bottle recycling depot,So I have to count the bottles in an efficient way.,So I count the bottles in an efficient way.,I encourage counting the bottles in an efficient way.
I am a bottle sorter at the bottle recycling depot,So I should provide the customer with an accurate payment for the bottles.,So I provide the customer with an accurate payment for the bottles.,I recommend providing the customer with an accurate payment for the bottles.
I am a car detailer at a car wash,So I must clean the customer's cars.,So I clean the customer's cars.,I want to clean the customer's cars.
I am a car detailer at a car wash,So I have to handle the vehicles with care.,So I handle the vehicles with care.,I suggest handling the vehicles with care.
Aren't you supposed to watch your niece and nephew tonight. ,No because they got another babysitter because I have to work.,No because they got another babysitter because I work.,No because they want to  get another babysitter because I work.
I am a deputy sheriff in a large county.,So I must Help with arrests if needed.,So I Help with arrests if needed.,I consider helping with arrests if needed.
I am a deputy sheriff in a large county.,So I have to make certain laws are enforced.,So I make certain laws are enforced.,I encourage making certain laws are enforced.
I am a janitor at the local courthouse.,So I must empty the trash and recycling bins.,So I empty the trash and recycling bins.,I recommend emptying the trash and recycling bins.
I am a janitor at the local courthouse.,So I ought to repair leaking faucets.,So I repair leaking faucets.,I want to repair leaking faucets.
I am at the police station to bail out my brother.,So I ought to leave my concealed gun in my car.,So I leave my concealed gun in my car.,I suggest leaving my concealed gun in my car.
I am at the police station to bail out my brother.,So I have to talk to the front desk about what to do.,So I talk to the front desk about what to do.,I consider talking to the front desk about what to do.
I am a high school French teacher,So I have to have a state issued license or certification to teach French,So I have a state issued license or certification to teach French,I encourage having a state-issued license or certification to teach French.
I am a high school French teacher,So I must have a solid grasp of the French language and culture,So I have a solid grasp of the French language and culture,I recommend having a solid grasp of the French language and culture.
I am a motorcycle riding instructor,So I should know how to ride a motorcycle myself.,So I know how to ride a motorcycle myself.,I want to know how to ride a motorcycle myself.
I am a motorcycle riding instructor,So I should teach my students how to safely handle their motorcycles.,So I teach my students how to safely handle their motorcycles.,I suggest teaching my students how to safely handle their motorcycles.
I am a middle school teacher at a local school. ,I must take my students on field trips.,I take my students on field trips.,I consider taking my students on field trips.
I am a middle school teacher at a local school. ,I should assign homework to my students.,I assign homework to my students.,I encourage assigning homework to my students.
I am a personal financial advisor. ,So I must breakdown my client's portfolio's so that they can understand where their money is going.,So I breakdown my client's portfolio's so that they can understand where their money is going.,I recommend breaking down my client's portfolio so that they can understand where their money is going.
I am a personal financial advisor. ,So I must make good financial decisions for people who don't know how to.,So I make good financial decisions for people who don't know how to.,I want to make good financial decisions for people who don't know how to.
I am writing an essay for history class. ,So I should go somewhere quiet to work on it.,So I go somewhere quiet to work on it.,I suggest going somewhere quiet to work on it.
I am writing an essay for history class. ,So I must do research on the topic first.,So I do research on the topic first.,I consider doing research on the topic first.
I am high school police officer,So I should always have my uniform on when on duty,So I always have my uniform on when on duty,I encourage always having my uniform on when on duty.
I am a Supreme Court Justice in the United States.,So I should Follow the US constitution closely.,So I Follow the US constitution closely.,I recommend following the US constitution closely.
I am a Supreme Court Justice in the United States.,So I should understand what precedent is.,So I understand what precedent is.,I want to understand what precedent is.
I am an optometrist with a private medical practice.,So I have to provide eye exams to determine if my patient has any vision issues.,So I provide eye exams to determine if my patient has any vision issues.,I suggest providing eye exams to determine if my patient has any vision issues.
I am an optometrist with a private medical practice.,So I should recommend proper prescriptions for patients needing glasses.,So I recommend proper prescriptions for patients needing glasses.,I consider recommending proper prescriptions for patients needing glasses.
I am a zookeeper at the local zoo.,So I should feed the animals every day.,So I feed the animals every day.,I encourage feeding the animals every day.
I am a zookeeper at the local zoo.,So I must make sure that the animals are at a comfortable temperature.,So I make sure that the animals are at a comfortable temperature.,I recommend making sure that the animals are at a comfortable temperature.
"I am a certified Public Accountant, working for the IRS.",So I ought to make sure people pay all they are supposed to.,So I make sure people pay all they are supposed to.,I want to make sure people pay all they are supposed to.
"I am a certified Public Accountant, working for the IRS.",So I should recheck figures in schedules filed.,So I recheck figures in schedules filed.,I suggest rechecking figures in schedules filed.
I am making a salad for my family at home.,So I ought to cut the vegatables.,So I cut the vegatables.,I consider cutting the vegetables.
I am making a salad for my family at home.,So I should mix the salad in a bowl.,So I mix the salad in a bowl.,I encourage mixing the salad in a bowl.
I am a babysitter for my neighbors' children. ,I must cook meals for the kids whenever their parents are out.,I cook meals for the kids whenever their parents are out.,I recommend cooking meals for the kids whenever their parents are out.
I am a babysitter for my neighbors' children. ,I must entertain the kids with games and crafts.,I entertain the kids with games and crafts.,I want to entertain the kids with games and crafts.
I am going to build a chicken coop.,So I should decide how many chickens the chicken coop should hold.,So I decide how many chickens the chicken coop hold.,I suggest deciding how many chickens the chicken coop can hold.
I am going to build a chicken coop.,So I should gather all the materials and tools needed to build a chicken coop.,So I gather all the materials and tools needed to build a chicken coop.,I consider gathering all the materials and tools needed to build a chicken coop.
I am drill sergeant in the military.,So I should wake my soldiers up in the morning.,So I wake my soldiers up in the morning.,I encourage waking my soldiers up in the morning.
I am drill sergeant in the military.,So I ought to discipline soldiers for bad behaviour.,So I discipline soldiers for bad behaviour.,I recommend disciplining soldiers for bad behavior.
I work as a lifeguard at the beach,So I should know how to swim.,So I know how to swim.,I want to know how to swim.
I work as a lifeguard at the beach,So I must always keep an eye on the people in the water.,So I always keep an eye on the people in the water.,I suggest always keeping an eye on the people in the water.
Could you vacuum underneath the bed today. ,But the vacuum's belt broke and I have to get a new one.,But the vacuum's belt broke and I get a new one.,I consider getting a new vacuum belt since the current one broke.
I am a referee for a hockey league,So I have to eject a player from the game if they are breaking the rules.,So I eject a player from the game if they are breaking the rules.,I encourage ejecting a player from the game if they are breaking the rules.
I am a referee for a hockey league,So I ought to make sure the players are following the rules.,So I make sure the players are following the rules.,I recommend making sure the players are following the rules.
I am a botonist for a large college.,"I ought to know the kingdom, phylum, and species of any plants","I know the kingdom, phylum, and species of any plants","I want to know the kingdom, phylum, and species of any plants."
I am a botonist for a large college.,So I ought to make sure I learn all the new plant species.,So I make sure I learn all the new plant species.,I suggest making sure I learn all the new plant species.
I am a botonist for a large college.,So I should make sure to take detailed scientific notes.,So I make sure to take detailed scientific notes.,I consider making sure to take detailed scientific notes.
I am a police officer at the city's police department. ,I ought to draw a gun when I'm being actively shot at.,I draw a gun when I'm being actively shot at.,I encourage drawing a gun when I'm being actively shot at.
I am a police officer at the city's police department. ,I should wear a uniform whenever I'm on duty.,I wear a uniform whenever I'm on duty.,I recommend wearing a uniform whenever I'm on duty.
I am working in the hospital as a nurse.,So I should write the vitals down in the charts.,So I write the vitals down in the charts.,I want to write the vitals down in the charts.
I am working in the hospital as a nurse.,So I have to check the patients' temperature.,So I check the patients' temperature.,I suggest checking the patients' temperature.
I am an air conditioner installer.,So I ought to fasten it so that it doesn't fall to the street below.,So I fasten it so that it doesn't fall to the street below.,I consider fastening it so that it doesn't fall to the street below.
I am an air conditioner installer.,So I ought to have it facing so that it blows cool air into the house.,So I have it facing so that it blows cool air into the house.,I encourage having it facing so that it blows cool air into the house.
I am a guitar player in a band,So I should make sure my guitar is in working condition.,So I make sure my guitar is in working condition.,I recommend making sure my guitar is in working condition.
I am a guitar player in a band,So I must be on time for our practice sessions.,So I be on time for our practice sessions.,I want to be on time for our practice sessions.
I am the garbage man for suburban neighborhoods.,I ought to pick up the garbage every week.,I pick up the garbage every week.,I suggest picking up the garbage every week.
I am the garbage man for suburban neighborhoods.,I should remember my route.,I remember my route.,I consider remembering my route.
I work undercover as a spy for the CIA ,I have to be very good at hiding my real identity.,I be very good at hiding my real identity.,I recommend being very good at hiding my real identity.
I work undercover as a spy for the CIA ,I should not blow my cover during an operation.,I do not blow my cover during an operation.,I want to not blow my cover during an operation.
I work undercover as a spy for the CIA ,I should not let people know that I am spying on them.,I do not let people know that I am spying on them.,I suggest not letting people know that I am spying on them.
I am a seamstress that specializes in wedding dresses. ,So I have to take care not to poke my clients with pins when fitting them with dresses.,So I take care not to poke my clients with pins when fitting them with dresses.,I consider taking care not to poke my clients with pins when fitting them with dresses.
I am a hairdresser at a salon.,I ought to make conversation with my clients if they wish.,I make conversation with my clients if they wish.,I encourage making conversation with my clients if they wish.
I am a hairdresser at a salon.,I have to give my clients a haircut like how they asked it to be cut.,I give my clients a haircut like how they asked it to be cut.,I recommend giving my clients a haircut like how they asked it to be cut.
I am a hairdresser at a salon.,I must clean up the hair when I am done cutting it.,I clean up the hair when I am done cutting it.,I want to clean up the hair when I am done cutting it.
I am a parcel delivery person for a delivery company,So I have to handle the parcels with care.,So I handle the parcels with care.,I suggest handling the parcels with care.
I am a parcel delivery person for a delivery company,So I must leave the parcels in a safe location.,So I leave the parcels in a safe location.,I consider leaving the parcels in a safe location.
I am a freshman in his first week in high school,So I have to go to sleep early to get lots of rest.,So I go to sleep early to get lots of rest.,I encourage going to sleep early to get lots of rest.
I am a freshman in his first week in high school,So I should study before I go to sleep to prepare for tomorrow's classes.,So I study before I go to sleep to prepare for tomorrow's classes.,I recommend studying before I go to sleep to prepare for tomorrow's classes.
I am a freshman in his first week in high school,So I must wash my clothes before bed so I have clean things for the next day.,So I wash my clothes before bed so I have clean things for the next day.,I want to wash my clothes before bed so I have clean things for the next day.
I am filling gas in my car's gas tank.,So I have to turn off the car.,So I turn off the car.,I suggest turning off the car.
I am filling gas in my car's gas tank.,So I have to pay for the gas.,So I pay for the gas.,I consider paying for the gas.
I am filling gas in my car's gas tank.,So I have to park near the pump.,So I park near the pump.,I encourage parking near the pump.
I am a professional chef at a restaurant. ,So I have to spend a lot of time in the kitchen.,So I spend a lot of time in the kitchen.,I recommend spending a lot of time in the kitchen.
I am a professional chef at a restaurant. ,So I should hire proficient cooks who love cooking.,So I hire proficient cooks who love cooking.,I want to hire proficient cooks who love cooking.
I am a aspiring pianist at a music school.,I have to know how to play all the chords.,I know how to play all the chords.,I suggest knowing how to play all the chords.
I am a aspiring pianist at a music school.,I ought to practice the piano regularly.,I practice the piano regularly.,I consider practicing the piano regularly.
I am a swimming instructor at the pool.,I must communicate any difficulties to the parents.,I communicate any difficulties to the parents.,I encourage communicating any difficulties to the parents.
I am a ferry boat operator on a wide river.,So I should make sure to be polite to my guests.,So I make sure to be polite to my guests.,I recommend making sure to be polite to my guests.
I am a ferry boat operator on a wide river.,So I have to safely operate my ferry boat.,So I safely operate my ferry boat.,I want to safely operate my ferry boat.
I am a receptionist at a psychiatrist's office.,I should collect medical information from new patients.,I collect medical information from new patients.,I suggest collecting medical information from new patients.
I am a receptionist at a psychiatrist's office.,I ought to help patients schedule appointments.,I help patients schedule appointments.,I consider helping patients schedule appointments.
I am a waitress at an Italian restaurant.,I ought to know what drinks are available on the menu.,I know what drinks are available on the menu.,I encourage knowing what drinks are available on the menu.
I am a waitress at an Italian restaurant.,I ought to bring out the orders to the tables in a timely manner.,I bring out the orders to the tables in a timely manner.,I recommend bringing out the orders to the tables in a timely manner.
I am a librarian who works in the children's department.,So I must read to kids sometimes.,So I read to kids sometimes.,I want to read to kids sometimes.
I am a librarian who works in the children's department.,So I have to speak calmly to the kids.,So I speak calmly to the kids.,I suggest speaking calmly to the kids.
I work at the IT help desk supporting about a hundred users.,I have to remove viruses from users' computers.,I remove viruses from users' computers.,I consider removing viruses from users' computers.
I work at the IT help desk supporting about a hundred users.,I ought to help users recover their passwords.,I help users recover their passwords.,I encourage helping users recover their passwords.
I'm a teacher at the local elementary school.,I should teach my students about math and science.,I teach my students about math and science.,I recommend teaching my students about math and science.
I'm a teacher at the local elementary school.,I must give my students feedback on assignments.,I give my students feedback on assignments.,I want to give my students feedback on assignments.
"I am a diabetic, trying to maintain my health.",So I have to restrict sweets and carbohydrates.,So I restrict sweets and carbohydrates.,I suggest restricting sweets and carbohydrates.
"I am a diabetic, trying to maintain my health.",So I have to exercise as much as I can.,So I exercise as much as I can.,I consider exercising as much as I can.
I am a pathologist in a small town police department.,I should testify in court when I am asked.,I testify in court when I am asked.,I encourage testifying in court when I am asked.
I am a pathologist in a small town police department.,I must perform autopsies on people who died in suspicious circumstances.,I perform autopsies on people who died in suspicious circumstances.,I recommend performing autopsies on people who died in suspicious circumstances.
I am a pathologist in a small town police department.,I must record all of my findings.,I record all of my findings.,I want to record all of my findings.
I am an attorney who works at a corporate law firm. ,I have to know how to draft a merger agreement.,I know how to draft a merger agreement.,I suggest knowing how to draft a merger agreement.
I am an attorney who works at a corporate law firm. ,I ought to understand complex contracts.,I understand complex contracts.,I consider understanding complex contracts.
I am an embalmer in a funeral home.,So I must do my best to respect the deceased.,So I do my best to respect the deceased.,I encourage doing my best to respect the deceased.
I am a fire marshall for the city.,So I have to do safety inspections regularly.,So I do safety inspections regularly.,I recommend doing safety inspections regularly.
I am a fire marshall for the city.,So I should be certain that fire exits are clear.,So I be certain that fire exits are clear.,I want to be certain that fire exits are clear.
I drive a train full of cargo from coast to coast.,I should make sure no one steals the cargo.,I make sure no one steals the cargo.,I suggest making sure no one steals the cargo.
I am working in a garden in my backyard.,So I must leave the plants in the sun.,So I leave the plants in the sun.,I consider leaving the plants in the sun.
I am working in a garden in my backyard.,So I ought to put the seeds in the ground.,So I put the seeds in the ground.,I encourage putting the seeds in the ground.
I am working in a garden in my backyard.,So I have to make sure the plants are watered.,So I make sure the plants are watered.,I recommend making sure the plants are watered.
I am a long distance truck driver.,I ought to drive no more than the legally allowable miles daily.,I drive no more than the legally allowable miles daily.,I want to drive no more than the legally allowable miles daily.
I am a long distance truck driver.,I should obey all traffic laws.,I obey all traffic laws.,I suggest obeying all traffic laws.
I am going to float on the river today.,So I must pack an ice chest full of my favorite snacks.,So I pack an ice chest full of my favorite snacks.,I consider packing an ice chest full of my favorite snacks.
I am going to float on the river today.,So I should check to make sure that there's air in my tube.,So I check to make sure that there's air in my tube.,I encourage checking to make sure that there's air in my tube.
I am a fitness trainer helping others build muscle and lose fat,So I must motivate and push people to go to the gym,So I motivate and push people to go to the gym,I recommend motivating and pushing people to go to the gym.
I am a fitness trainer helping others build muscle and lose fat,So I ought to give my customers good work out tips,So I give my customers good work out tips,I want to give my customers good workout tips.
I am a fitness trainer helping others build muscle and lose fat,So I have to answer any questions my customers have with relation to correct exercise form,So I answer any questions my customers have with relation to correct exercise form,I suggest answering any questions my customers have with relation to correct exercise form.
I am a police officer that serves my hometown.,So I must pull drivers over for speeding.,So I pull drivers over for speeding.,I consider pulling drivers over for speeding.
I am a police officer that serves my hometown.,So I should protect the citizens.,So I protect the citizens.,I encourage protecting the citizens.
I am a nail technician at a salon and spa. ,So I have to soak off gel and acrylic nails before putting on another full set.,So I soak off gel and acrylic nails before putting on another full set.,I recommend soaking off gel and acrylic nails before putting on another full set.
I am a nail technician at a salon and spa. ,So I have to give clients manicure's and pedicures.,So I give clients manicure's and pedicures.,I want to give clients manicures and pedicures.
I am working as a hostess in a restaurant.,So I must seat the customers down.,So I seat the customers down.,I suggest seating the customers down.
I am working as a hostess in a restaurant.,So I should help make reservations.,So I help make reservations.,I consider helping make reservations.
I am a professor at a university.,So I have to grade the tests my students handed in.,So I grade the tests my students handed in.,I encourage grading the tests my students handed in.
I am a professor at a university.,So I should give lectures to my students.,So I give lectures to my students.,I recommend giving lectures to my students.
"I am a pizza delivery service person, working for a local Pizzaria.",So I should get the Pizzas to customers quickly.,So I get the Pizzas to customers quickly.,I want to get the pizzas to customers quickly.
"I am a pizza delivery service person, working for a local Pizzaria.",So I ought to make sure to get clear directions ahead of time to maximize efficiency.,So I make sure to get clear directions ahead of time to maximize efficiency.,I suggest making sure to get clear directions ahead of time to maximize efficiency.
I am a general practicioner running a family practice.,I must be able to refer patients to specialists when needed.,I be able to refer patients to specialists when needed.,I consider being able to refer patients to specialists when needed.
I am a general practicioner running a family practice.,I should conduct routine checkups.,I conduct routine checkups.,I encourage conducting routine checkups.
I am a taxi cab driver in a large city. ,So I should Drop people off at their destinations.,So I Drop people off at their destinations.,I recommend dropping people off at their destinations.
I am a taxi cab driver in a large city. ,So I ought to pick up people who need rides.,So I pick up people who need rides.,I want to pick up people who need rides.
I am the captain of a cruise ship on a tropical cruise.,So I should set a course towards the destination.,So I set a course towards the destination.,I suggest setting a course towards the destination.
I am the captain of a cruise ship on a tropical cruise.,So I have to make sure our guests are comfortable.,So I make sure our guests are comfortable.,I consider making sure our guests are comfortable.
I am running a marathon race this weekend.,So I ought to train for the marathon by running.,So I train for the marathon by running.,I encourage training for the marathon by running.
I am running a marathon race this weekend.,So I should time myself while running.,So I time myself while running.,I recommend timing myself while running.
I am an architect who designs buildings.,So I have to design the structure of a house.,So I design the structure of a house.,I want to design the structure of a house.
I am an architect who designs buildings.,So I ought to draw sketches of house designs.,So I draw sketches of house designs.,I suggest drawing sketches of house designs.
I work as a project manager for a large project.,I have to identify potential risks to the project.,I identify potential risks to the project.,I consider identifying potential risks to the project.
I am a family doctor at a clinic.,So I have to prescribe medicine for my patients.,So I prescribe medicine for my patients.,I encourage prescribing medicine for my patients.
I am a family doctor at a clinic.,So I ought to diagnose my patients.,So I diagnose my patients.,I recommend diagnosing my patients.
I am a desk clerk at a hotel. ,So I have to make and cancel reservations for people.,So I make and cancel reservations for people.,I want to make and cancel reservations for people.
I am a desk clerk at a hotel. ,So I must check people out as they are leaving.,So I check people out as they are leaving.,I suggest checking people out as they are leaving.
I am a desk clerk at a hotel. ,So I must check people in as they arrive.,So I check people in as they arrive.,I consider checking people in as they arrive.
I am a chef in a restaurant in the city.,So I should be careful in the kitchen.,So I be careful in the kitchen.,I encourage being careful in the kitchen.
I am a chef in a restaurant in the city.,So I ought to make sure the kitchen is clean.,So I make sure the kitchen is clean.,I recommend making sure the kitchen is clean.
I am a sattelite operator for a large corporation.,So I should figure out which orbits are feasible.,So I figure out which orbits are feasible.,I want to figure out which orbits are feasible.
I am a sattelite operator for a large corporation.,So I have to make sure all licenses and approvals are set ahead of time.,So I make sure all licenses and approvals are set ahead of time.,I suggest making sure all licenses and approvals are set ahead of time.
I am taking out the trash today since it is full.,So I must dump it in our trash bin.,So I dump it in our trash bin.,I consider dumping it in our trash bin.
I am taking out the trash today since it is full.,So I should put a new trash bag in the bin.,So I put a new trash bag in the bin.,I encourage putting a new trash bag in the bin.
I am a compliance officer for my company.,So I ought to assist the management when they have a code or usage question for me.,So I assist the management when they have a code or usage question for me.,I recommend assisting the management when they have a code or usage question for me.
I am a compliance officer for my company.,So I ought to review all regulations regularly.,So I review all regulations regularly.,I want to review all regulations regularly.
I am giving a lecture on quantum physics to college students in a large lecture hall.,So I ought to provide clear visuals that help explain key concepts.,So I provide clear visuals that help explain key concepts.,I suggest providing clear visuals that help explain key concepts.
I am giving a lecture on quantum physics to college students in a large lecture hall.,So I should talk clearly so that everyone can understand.,So I talk clearly so that everyone can understand.,I consider talking clearly so that everyone can understand.
I am giving a lecture on quantum physics to college students in a large lecture hall.,So I should answer questions from students relating to my presentation.,So I answer questions from students relating to my presentation.,I encourage answering questions from students relating to my presentation.
"I am a traveling, door to door salesman. ",So I ought to try to convince people to buy what I am selling.,So I try to convince people to buy what I am selling.,I recommend trying to convince people to buy what I am selling.
"I am a traveling, door to door salesman. ",So I have to be knowledgeable about the product I am selling.,So I be knowledgeable about the product I am selling.,I want to be knowledgeable about the product I am selling.
"I am a traveling, door to door salesman. ",So I ought to have good customer service and people skills.,So I have good customer service and people skills.,I suggest having good customer service and people skills.
"I am a back up singer for a small, local band. ",So I must go with the lead singer where ever she performs.,So I go with the lead singer where ever she performs.,I consider going with the lead singer wherever she performs.
"I am a back up singer for a small, local band. ",So I have to harmonize my voice with the lead singers.,So I harmonize my voice with the lead singers.,I encourage harmonizing my voice with the lead singers.
I am reviewing a business contract for my company.,I should have the CEO sign the contract if it is approved.,I have the CEO sign the contract if it is approved.,I recommend having the CEO sign the contract if it is approved.
I am a cultural Studies teacher,So I should study other cultures,So I study other cultures,I want to study other cultures.
I am a cultural Studies teacher,So I must teach about other cultures,So I teach about other cultures,I suggest teaching about other cultures.
I am working as a carpenter to build a house.,I should know how to lay the tile work,I know how to lay the tile work,I consider knowing how to lay the tile work.
I am working as a carpenter to build a house.,So I have to screw the boards into the wall.,So I screw the boards into the wall.,I encourage screwing the boards into the wall.
I am working as a carpenter to build a house.,So I have to carry a hammer with me.,So I carry a hammer with me.,I recommend carrying a hammer with me.
I am working as a carpenter to build a house.,So I ought to work to build the house.,So I work to build the house.,I want to work to build the house.
I am a cattle rancher on my family farm. ,So I have to brand the cows.,So I brand the cows.,I suggest branding the cows.
I am a cattle rancher on my family farm. ,So I ought to sell the cows I raise.,So I sell the cows I raise.,I consider selling the cows I raise.
I am the owner of a coffee shop,So I have to make sure my shop is up to health code,So I make sure my shop is up to health code,I encourage making sure my shop is up to health code.
I am the owner of a coffee shop,So I should make sure my employees are trained properly,So I make sure my employees are trained properly,I recommend making sure my employees are trained properly.
I want to become an actor in the movies or on tv.,I should join a community theater to get acting experience and have something to put on my resume.,I join a community theater to get acting experience and have something to put on my resume.,I want to join a community theater to get acting experience and have something to put on my resume.
I want to become an actor in the movies or on tv.,I must have a portfolio of pictures of myself and copies of any actor type work I have done.,I have a portfolio of pictures of myself and copies of any actor type work I have done.,I suggest having a portfolio of pictures of myself and copies of any acting work I have done.
"I am a contact tracer, working for state government.",So I should find out who might have been exposed to Corona Virus.,So I find out who might have been exposed to Corona Virus.,I consider finding out who might have been exposed to the Coronavirus.
"I am a contact tracer, working for state government.",So I must call those who might have been infected.,So I call those who might have been infected.,I encourage calling those who might have been infected.
I am an employee working at a bowling alley.,So I ought to give people their bowling shoes.,So I give people their bowling shoes.,I recommend giving people their bowling shoes.
I am an employee working at a bowling alley.,So I have to assist people with their shoe sizes.,So I assist people with their shoe sizes.,I want to assist people with their shoe sizes.
I am an employee working at a bowling alley.,So I must tell people which lanes to use.,So I tell people which lanes to use.,I suggest telling people which lanes to use.
I am working as a bartender at the new restaurant.,So I must ask people to open tabs.,So I ask people to open tabs.,I consider asking people to open tabs.
I am working as a bartender at the new restaurant.,So I should learn how to make all drinks.,So I learn how to make all drinks.,I encourage learning how to make all drinks.
I am an intern at the local paper company,I should try to learn as much as I can,I try to learn as much as I can,I recommend trying to learn as much as I can.
I am an intern at the local paper company,I have to show up to work at the time I am supposed to.,I show up to work at the time I am supposed to.,I want to show up to work at the time I am supposed to.
I am a nutritionist for a doctor's clinic.,So I ought to understand what calorie count food has.,So I understand what calorie count food has.,I suggest understanding what calorie count food has.
I am the girls tennis coach at the high school,So I ought to know how to teach forehand and backhand strokes,So I know how to teach forehand and backhand strokes,I consider knowing how to teach forehand and backhand strokes.
I am the girls tennis coach at the high school,So I must know how to help my players improve their tennis game,So I know how to help my players improve their tennis game,I encourage knowing how to help my players improve their tennis game.
I am a new mother of two kids that are twins.,So I have to be a good mother to my kids.,So I be a good mother to my kids.,I recommend being a good mother to my kids.
I am a janitor at a high school,So I should mop the floors after school is done.,So I mop the floors after school is done.,I want to mop the floors after school is done.
I am a janitor at a high school,So I ought to make sure the school is clean.,So I make sure the school is clean.,I suggest making sure the school is clean.
I am a criminal defense lawyer at a law firm.,So I ought to read and study the law.,So I read and study the law.,I consider reading and studying the law.
I am a criminal defense lawyer at a law firm.,So I ought to defend my clients.,So I defend my clients.,I encourage defending my clients.
I am a firefighter in a small town's fire station.,I ought to carry people out of burning buildings.,I carry people out of burning buildings.,I recommend carrying people out of burning buildings.
I teach simple baking classes to students.,I should not be deathly allergic to flour.,I do not be deathly allergic to flour.,I want to not be deathly allergic to flour.
I teach simple baking classes to students.,I should hold my classes in a kitchen.,I hold my classes in a kitchen.,I suggest holding my classes in a kitchen.
I teach simple baking classes to students.,I ought to provide students with an oven.,I provide students with an oven.,I consider providing students with an oven.
I am a vintage video game repairman.,So I should make sure the games are unplugged before taking them apart.,So I make sure the games are unplugged before taking them apart.,I encourage making sure the games are unplugged before taking them apart.
I am a vintage video game repairman.,So I should use the correct tools to remove covers.,So I use the correct tools to remove covers.,I recommend using the correct tools to remove covers.
I am working as an electronic repairman.,So I ought to work on fixing a computer.,So I work on fixing a computer.,I want to work on fixing a computer.
I am working as an electronic repairman.,So I must know how to fix a mother board.,So I know how to fix a mother board.,I suggest knowing how to fix a motherboard.
I am a broadway musical acting performer.,So I must do my best during performances.,So I do my best during performances.,I consider doing my best during performances.
I am a broadway musical acting performer.,So I ought to rehearse fully and in a supportive way.,So I rehearse fully and in a supportive way.,I encourage rehearsing fully and in a supportive way.
I am a web application developer for my company,I ought to understand programming languages.,I understand programming languages.,I recommend understanding programming languages.
I am a web application developer for my company,I should write quality code that can understood by other developers,I write quality code that can understood by other developers,I want to write quality code that can be understood by other developers.
I am a massage therapist at a massage parlor.,So I should relieve my customer's back pains.,So I relieve my customer's back pains.,I suggest relieving my customer's back pains.
