context,strong,none,weak
I am a fourth grade school teacher,So I ought not to talk to my students every day,So I do not talk to my students every day,So I do not recommend helping talk to my students every day
I am a fast food manager in a Wendy's.,So I should not try to check in with customers and make sure they have what they need.,So I do not try to check in with customers and make sure they have what they need.,So I do not recommend trying to check in with customers and make sure they have what they need.
I am a fast food manager in a Wendy's.,So I should not make sure employees are scheduled to work.,So I do not make sure employees are scheduled to work.,So I do not recommend makeing sure employees are scheduled to work.
I am going to clean out the rain gutters on my house.,So I must not rake up the mess from the gutters that lands on the ground.,So I do not rake up the mess from the gutters that lands on the ground.,I do not consider raking up the mess from the gutters that lands on the ground.
I am going to clean out the rain gutters on my house.,So I must not get a tall ladder to reach the gutters.,So I do not get a tall ladder to reach the gutters.,So I do not recommend geting a tall ladder to reach the gutters.
I am going to clean out the rain gutters on my house.,So I should not make sure none of the drain spouts are clogged.,So I do not make sure none of the drain spouts are clogged.,So I do not recommend makeing sure none of the drain spouts are clogged.
I am the maid of honor in my best friend's wedding.,I ought not to go dress shopping with the bride.,So I do not to go dress shopping with the bride.,So I do not recommend I  to go dress shopping with the bride.
I am the maid of honor in my best friend's wedding.,I must not give a speech at the wedding.,So I do not give a speech at the wedding.,So I do not recommend I  give a speech at the wedding.
I am the maid of honor in my best friend's wedding.,I must not plan the bachelorette party.,So I do not plan the bachelorette party.,So I do not recommend I  plan the bachelorette party.
I am a professional basketball player. ,So I must not be a positive role model for young fans.,So I do not be a positive role model for young fans.,I do not encourage being a positive role model for young fans.
I am a husband awaiting his wife's shopping spree to be over.,So I should not wait outside holding her purse.,So I do not wait outside holding her purse.,So I do not recommend waiting outside holding her purse.
I am a husband awaiting his wife's shopping spree to be over.,So I should not not keep interrupting her as she tries things on.,So I do not not keep interrupting her as she tries things on.,So I do not recommend noting keep interrupting her as she tries things on.
I am a hair stylist at a beauty parlor.,So I should not understand how to work with different types of hair.,So I do not understand how to work with different types of hair.,So I do not recommend understanding how to work with different types of hair.
I work at the video arcade in town.,I should not wipe down the machines.,So I do not wipe down the machines.,So I do not recommend I  wipe down the machines.
I work at the video arcade in town.,I must not make change for the customers.,So I do not make change for the customers.,So I do not recommend I  make change for the customers.
I am a policeman who works the local beat.,So I ought not to arrest someone who is assaulting someone else.,So I do not arrest someone who is assaulting someone else.,So I do not recommend helping arrest someone who is assaulting someone else.
I am a policeman who works the local beat.,So I must not assist lost children who need help.,So I do not assist lost children who need help.,So I do not recommend assisting lost children who need help.
I am a student in the Computer Science program.,So I must not do my homework on time.,So I do not my homework on time.,I do not suggest doing my homework on time.
I am a student in the Computer Science program.,So I must not learn to program effectively.,So I do not learn to program effectively.,So I do not recommend learning to program effectively.
I am the coach of a girls' soccer team,So I must not know the names of all of the girls on my team,So I do not know the names of all of the girls on my team,So I do not recommend knowing the names of all of the girls on my team
I am the coach of a girls' soccer team,So I must not know how to teach basic ball handling skills,So I do not know how to teach basic ball handling skills,I do not recommend knowinging how to teach basic ball-handling skills.
I'm a cashier at the local grocery store. ,I must not resolve questions from customers about price discrepancies.,I do not resolve questions from customers about price discrepancies.,I do not want to resolve questions from customers about price discrepancies.
I'm a cashier at the local grocery store. ,I should not make the correct change for my customers.,So I do not make the correct change for my customers.,So I do not recommend I  make the correct change for my customers.
I am a parking lot attendant. ,So I must not call the police if someone tries to steal a car.,So I do not call the police if someone tries to steal a car.,So I do not recommend calling the police if someone tries to steal a car.
I am working as a maid in the hotel.,So I must not roll the cart down the hallway.,So I do not roll the cart down the hallway.,I do not encourage rolling the cart down the hallway.
I am working as a maid in the hotel.,So I ought not to make the beds in the room.,So I do not make the beds in the room.,So I do not recommend helping make the beds in the room.
I am a receptionist at a hotel,So I should not assist the guests with booking their rooms.,So I do not assist the guests with booking their rooms.,So I do not recommend assisting the guests with booking their rooms.
I am a receptionist at a hotel,So I ought not to greet the hotel guests when they arrive.,So I do not greet the hotel guests when they arrive.,So I do not recommend helping greet the hotel guests when they arrive.
I am a pizza deliver driver at a local pizza joint,So I should not ring the doorbell or knock when I arrive.,So I do not ring the doorbell or knock when I arrive.,So I do not recommend ringing the doorbell or knock when I arrive.
I am a pizza deliver driver at a local pizza joint,So I must not deliver the pizza before it gets too cold.,So I do not deliver the pizza before it gets too cold.,I do not encourage delivering the pizza before it gets too cold.
I teach orchestra in the local high school,I should not know how to tune string instruments.,So I do not know how to tune string instruments.,So I do not recommend I  know how to tune string instruments.
I teach orchestra in the local high school,I must not teach kids how to read sheet music.,So I do not teach kids how to read sheet music.,So I do not recommend I  teach kids how to read sheet music.
I am a salesman at a used car dealership. ,So I ought not to go with potential customers to test drive cars they are interested in.,So I do not go with potential customers to test drive cars they are interested in.,So I do not recommend helping go with potential customers to test drive cars they are interested in.
I am a salesman at a used car dealership. ,So I should not help customers pick out a used car that will suit their needs.,So I do not help customers pick out a used car that will suit their needs.,So I do not recommend helping customers pick out a used car that will suit their needs.
I am a security guard at the local high school,I must not break up fights between students.,I do not break up fights between students.,I do not encourage breaking up fights between students.
I am a security guard at the local high school,I must not check lockers for drugs if suspicion is warranted.,I do not check lockers for drugs if suspicion is warranted.,I do not recommend checking lockers for drugs if suspicion is warranted.
I am replacing the smoke alarm inside my house.,So I ought not to step on a chair to reach the ceiling.,So I do not step on a chair to reach the ceiling.,So I do not recommend helping step on a chair to reach the ceiling.
I am replacing the smoke alarm inside my house.,So I must not use a ladder.,So I do not use a ladder.,So I do not recommend useing a ladder.
I am exploring a cave all by my self.,I must not tie a rope at the cave entrance then carry the rope and go back when I reach the end of the rope.,So I do not tie a rope at the cave entrance then carry the rope and go back when I reach the end of the rope.,So I do not recommend I  tie a rope at the cave entrance then carry the rope and go back when I reach the end of the rope.
I am exploring a cave all by my self.,I must not let someone know where I went to explore and when to expect me to return.,I do not let someone know where I went to explore and when to expect me to return.,I do not encourage letting someone know where I went to explore and when to expect me to return.
I am a cashier at a gas station,So I should not be able to ring people up when they bring items to the counter,So I do not be able to ring people up when they bring items to the counter,So I do not recommend being able to ring people up when they bring items to the counter
I am a cashier at a gas station,So I ought not to be able to make change,So I do not be able to make change,So I do not recommend helping be able to make change
I am a housekeeper for an elderly couple. ,So I ought not to make the couple's bed.,So I do not make the couple's bed.,So I do not recommend helping make the couple's bed.
I am a housekeeper for an elderly couple. ,So I must not ensure the house stays tidy.,So I do not ensure the house stays tidy.,I do not consider ensuring the house stays tidy.
I am a bottle sorter at the bottle recycling depot,So I must not count the bottles in an efficient way.,So I do not count the bottles in an efficient way.,I do not encourage counting the bottles in an efficient way.
I am a bottle sorter at the bottle recycling depot,So I should not provide the customer with an accurate payment for the bottles.,So I do not provide the customer with an accurate payment for the bottles.,So I do not recommend provideing the customer with an accurate payment for the bottles.
I am a car detailer at a car wash,So I must not clean the customer's cars.,So I do not clean the customer's cars.,So I do not recommend cleaning the customer's cars.
I am a car detailer at a car wash,So I must not handle the vehicles with care.,So I do not handle the vehicles with care.,I do not suggest handling the vehicles with care.
Aren't you supposed to watch your niece and nephew tonight. ,No I must not because they got another babysitter because I work.,No I do not because they got another babysitter because I work.,No do not because they want to get another babysitter because I work.
I am a deputy sheriff in a large county.,So I must not Help with arrests if needed.,So I do not help with arrests if needed.,So I do not recommend Help with arrests if needed.
I am a deputy sheriff in a large county.,So I must not make certain laws are enforced.,So I do not make certain laws are enforced.,I do not encourage making certain laws are enforced.
I am a janitor at the local courthouse.,So I must not empty the trash and recycling bins.,So I do not empty the trash and recycling bins.,So I do not recommend emptying the trash and recycling bins.
I am a janitor at the local courthouse.,So I ought not to repair leaking faucets.,So I do not repair leaking faucets.,So I do not recommend helping repair leaking faucets.
I am at the police station to bail out my brother.,So I ought not to leave my concealed gun in my car.,So I do not leave my concealed gun in my car.,So I do not recommend helping leave my concealed gun in my car.
I am at the police station to bail out my brother.,So I must not talk to the front desk about what to do.,So I do not talk to the front desk about what to do.,I do not consider talking to the front desk about what to do.
I am a high school French teacher,So I must not have a state issued license or certification to teach French,So I have not a state issued license or certification to teach French,I do not encourage having a state-issued license or certification to teach French.
I am a high school French teacher,So I must not have a solid grasp of the French language and culture,So I do not have a solid grasp of the French language and culture,So I do not recommend haveing a solid grasp of the French language and culture
I am a motorcycle riding instructor,So I should not know how to ride a motorcycle myself.,So I do not know how to ride a motorcycle myself.,So I do not recommend knowing how to ride a motorcycle myself.
I am a motorcycle riding instructor,So I should not teach my students how to safely handle their motorcycles.,So I do not teach my students how to safely handle their motorcycles.,So I do not recommend teaching my students how to safely handle their motorcycles.
I am a middle school teacher at a local school. ,I must not take my students on field trips.,So I do not take my students on field trips.,So I do not recommend I  take my students on field trips.
I am a middle school teacher at a local school. ,I should not assign homework to my students.,So I do not assign homework to my students.,So I do not recommend I  assign homework to my students.
I am a personal financial advisor. ,So I must not breakdown my client's portfolio's so that they can understand where their money is going.,So I do not breakdown my client's portfolio's so that they can understand where their money is going.,So I do not recommend breakdowning my client's portfolio's so that they can understand where their money is going.
I am a personal financial advisor. ,So I must not make good financial decisions for people who don't know how to.,So I do not make good financial decisions for people who don't know how to.,So I do not recommend makeing good financial decisions for people who don't know how to.
I am writing an essay for history class. ,So I should not go somewhere quiet to work on it.,So I do not go somewhere quiet to work on it.,So I do not recommend going somewhere quiet to work on it.
I am writing an essay for history class. ,So I must not do research on the topic first.,So I do not do research on the topic first.,So I do not recommend doing research on the topic first.
I am high school police officer,So I should not always have my uniform on when on duty,So I do not always have my uniform on when on duty,So I do not recommend alwaysing have my uniform on when on duty
I am a Supreme Court Justice in the United States.,So I should not Follow the US constitution closely.,So I do not Follow the US constitution closely.,So I do not recommend Follow the US constitution closely.
I am a Supreme Court Justice in the United States.,So I should not understand what precedent is.,So I do not understand what precedent is.,So I do not recommend understanding what precedent is.
I am an optometrist with a private medical practice.,So I must not provide eye exams to determine if my patient has any vision issues.,So I do not provide eye exams to determine if my patient has any vision issues.,I do not suggest providing eye exams to determine if my patient has any vision issues.
I am an optometrist with a private medical practice.,So I should not recommend proper prescriptions for patients needing glasses.,So I do not recommend proper prescriptions for patients needing glasses.,So I do not recommend recommending proper prescriptions for patients needing glasses.
I am a zookeeper at the local zoo.,So I should not feed the animals every day.,So I do not feed the animals every day.,So I do not recommend feeding the animals every day.
I am a zookeeper at the local zoo.,So I must not make sure that the animals are at a comfortable temperature.,So I do not make sure that the animals are at a comfortable temperature.,So I do not recommend makeing sure that the animals are at a comfortable temperature.
"I am a certified Public Accountant, working for the IRS.",So I ought not to make sure people pay all they are supposed to.,So I do not make sure people pay all they are supposed to.,So I do not recommend helping make sure people pay all they are supposed to.
"I am a certified Public Accountant, working for the IRS.",So I should not recheck figures in schedules filed.,So I do not recheck figures in schedules filed.,So I do not recommend rechecking figures in schedules filed.
I am making a salad for my family at home.,So I ought not to cut the vegatables.,So I do not cut the vegatables.,So I do not recommend helping cut the vegatables.
I am making a salad for my family at home.,So I should not mix the salad in a bowl.,So I do not mix the salad in a bowl.,So I do not recommend mixing the salad in a bowl.
I am a babysitter for my neighbors' children. ,I must not cook meals for the kids whenever their parents are out.,So I do not cook meals for the kids whenever their parents are out.,So I do not recommend I  cook meals for the kids whenever their parents are out.
I am a babysitter for my neighbors' children. ,I must not entertain the kids with games and crafts.,So I do not entertain the kids with games and crafts.,So I do not recommend I  entertain the kids with games and crafts.
I am going to build a chicken coop.,So I should not decide how many chickens the chicken coop should hold.,So I do not decide how many chickens the chicken coop should hold.,So I do not recommend decideing how many chickens the chicken coop should hold.
I am going to build a chicken coop.,So I should not gather all the materials and tools needed to build a chicken coop.,So I do not gather all the materials and tools needed to build a chicken coop.,So I do not recommend gathering all the materials and tools needed to build a chicken coop.
I am drill sergeant in the military.,So I should not wake my soldiers up in the morning.,So I do not wake my soldiers up in the morning.,So I do not recommend wakeing my soldiers up in the morning.
I am drill sergeant in the military.,So I ought not to discipline soldiers for bad behaviour.,So I do not discipline soldiers for bad behaviour.,So I do not recommend helping discipline soldiers for bad behaviour.
I work as a lifeguard at the beach,So I should not know how to swim.,So I do not know how to swim.,So I do not recommend knowing how to swim.
I work as a lifeguard at the beach,So I must not always keep an eye on the people in the water.,So I do not always keep an eye on the people in the water.,So I do not recommend alwaysing keep an eye on the people in the water.
Could you vacuum underneath the bed today. ,But the vacuum's belt broke and I must not get a new one.,But the vacuum's belt broke and I do not get a new one.,I do not consider getting a new vacuum belt since the current one broke.
I am a referee for a hockey league,So I must not eject a player from the game if they are breaking the rules.,So I do not eject a player from the game if they are breaking the rules.,I do not encourage ejecting a player from the game if they are breaking the rules.
I am a referee for a hockey league,So I ought not to make sure the players are following the rules.,So I do not make sure the players are following the rules.,So I do not recommend helping make sure the players are following the rules.
I am a botonist for a large college.,"I ought not to know the kingdom, phylum, and species of any plants","So I do not to know the kingdom, phylum, and species of any plants","So I do not recommend I  to know the kingdom, phylum, and species of any plants"
I am a botonist for a large college.,So I ought not to make sure I learn all the new plant species.,So I do not make sure I learn all the new plant species.,So I do not recommend helping make sure I learn all the new plant species.
I am a botonist for a large college.,So I should not make sure to take detailed scientific notes.,So I do not make sure to take detailed scientific notes.,So I do not recommend makeing sure to take detailed scientific notes.
I am a police officer at the city's police department. ,I ought not to draw a gun when I'm being actively shot at.,So I do not to draw a gun when I'm being actively shot at.,So I do not recommend I  to draw a gun when I'm being actively shot at.
I am a police officer at the city's police department. ,I should not wear a uniform whenever I'm on duty.,So I do not wear a uniform whenever I'm on duty.,So I do not recommend I  wear a uniform whenever I'm on duty.
I am working in the hospital as a nurse.,So I should not write the vitals down in the charts.,So I do not write the vitals down in the charts.,So I do not recommend writeing the vitals down in the charts.
I am working in the hospital as a nurse.,So I must not check the patients' temperature.,So I do not check the patients' temperature.,I do not suggest checking the patients' temperature.
I am an air conditioner installer.,So I ought not to fasten it so that it doesn't fall to the street below.,So I do not fasten it so that it doesn't fall to the street below.,So I do not recommend helping fasten it so that it doesn't fall to the street below.
I am an air conditioner installer.,So I ought not to have it facing so that it blows cool air into the house.,So I do not have it facing so that it blows cool air into the house.,So I do not recommend helping have it facing so that it blows cool air into the house.
I am a guitar player in a band,So I should not make sure my guitar is in working condition.,So I do not make sure my guitar is in working condition.,So I do not recommend makeing sure my guitar is in working condition.
I am a guitar player in a band,So I must not be on time for our practice sessions.,So I do not be on time for our practice sessions.,So I do not recommend being on time for our practice sessions.
I am the garbage man for suburban neighborhoods.,I ought not to pick up the garbage every week.,So I do not to pick up the garbage every week.,So I do not recommend I  to pick up the garbage every week.
I am the garbage man for suburban neighborhoods.,I should not remember my route.,So I do not remember my route.,So I do not recommend I  remember my route.
I work undercover as a spy for the CIA ,I must not be very good at hiding my real identity.,I do not be very good at hiding my real identity.,I do not recommend beinging very good at hiding my real identity.
I work undercover as a spy for the CIA ,I should not not blow my cover during an operation.,So I do not not blow my cover during an operation.,So I do not recommend I  not blow my cover during an operation.
I work undercover as a spy for the CIA ,I should not not let people know that I am spying on them.,So I do not not let people know that I am spying on them.,So I do not recommend I  not let people know that I am spying on them.
I am a seamstress that specializes in wedding dresses. ,So I must not take care not to poke my clients with pins when fitting them with dresses.,So I do not take care not to poke my clients with pins when fitting them with dresses.,I do not consider taking care not to poke my clients with pins when fitting them with dresses.
I am a hairdresser at a salon.,I ought not to make conversation with my clients if they wish.,So I do not to make conversation with my clients if they wish.,So I do not recommend I  to make conversation with my clients if they wish.
I am a hairdresser at a salon.,I must not give my clients a haircut like how they asked it to be cut.,I do not give my clients a haircut like how they asked it to be cut.,I do not recommend givinging my clients a haircut like how they asked it to be cut.
I am a hairdresser at a salon.,I must not clean up the hair when I am done cutting it.,So I do not clean up the hair when I am done cutting it.,So I do not recommend I  clean up the hair when I am done cutting it.
I am a parcel delivery person for a delivery company,So I must not handle the parcels with care.,So I do not handle the parcels with care.,I do not suggest handling the parcels with care.
I am a parcel delivery person for a delivery company,So I must not leave the parcels in a safe location.,So I do not leave the parcels in a safe location.,So I do not recommend leaveing the parcels in a safe location.
I am a freshman in his first week in high school,So I must not go to sleep early to get lots of rest.,So I do not go to sleep early to get lots of rest.,I do not encourage going to sleep early to get lots of rest.
I am a freshman in his first week in high school,So I should not study before I go to sleep to prepare for tomorrow's classes.,So I do not study before I go to sleep to prepare for tomorrow's classes.,So I do not recommend studying before I go to sleep to prepare for tomorrow's classes.
I am a freshman in his first week in high school,So I must not wash my clothes before bed so I have clean things for the next day.,So I do not wash my clothes before bed so I have clean things for the next day.,So I do not recommend washing my clothes before bed so I have clean things for the next day.
I am filling gas in my car's gas tank.,So I must not turn off the car.,So I do not turn off the car.,I do not suggest turning off the car.
I am filling gas in my car's gas tank.,So I must not pay for the gas.,So I do not pay for the gas.,I do not consider paying for the gas.
I am filling gas in my car's gas tank.,So I must not park near the pump.,So I do not park near the pump.,I do not encourage parking near the pump.
I am a professional chef at a restaurant. ,So I must not spend a lot of time in the kitchen.,So I do not spend a lot of time in the kitchen.,I do not recommend spendinging a lot of time in the kitchen.
I am a professional chef at a restaurant. ,So I should not hire proficient cooks who love cooking.,So I do not hire proficient cooks who love cooking.,So I do not recommend hireing proficient cooks who love cooking.
I am a aspiring pianist at a music school.,I must not know how to play all the chords.,I do not know how to play all the chords.,I do not suggest knowing how to play all the chords.
I am a aspiring pianist at a music school.,I ought not to practice the piano regularly.,So I do not to practice the piano regularly.,So I do not recommend I  to practice the piano regularly.
I am a swimming instructor at the pool.,I must not communicate any difficulties to the parents.,So I do not communicate any difficulties to the parents.,So I do not recommend I  communicate any difficulties to the parents.
I am a ferry boat operator on a wide river.,So I should not make sure to be polite to my guests.,So I do not make sure to be polite to my guests.,So I do not recommend makeing sure to be polite to my guests.
I am a ferry boat operator on a wide river.,So I must not safely operate my ferry boat.,So I do not safely operate my ferry boat.,I do not want to safely operate my ferry boat.
I am a receptionist at a psychiatrist's office.,I should not collect medical information from new patients.,So I do not collect medical information from new patients.,So I do not recommend I  collect medical information from new patients.
I am a receptionist at a psychiatrist's office.,I ought not to help patients schedule appointments.,So I do not to help patients schedule appointments.,So I do not recommend I  to help patients schedule appointments.
I am a waitress at an Italian restaurant.,I ought not to know what drinks are available on the menu.,So I do not to know what drinks are available on the menu.,So I do not recommend I  to know what drinks are available on the menu.
I am a waitress at an Italian restaurant.,I ought not to bring out the orders to the tables in a timely manner.,So I do not to bring out the orders to the tables in a timely manner.,So I do not recommend I  to bring out the orders to the tables in a timely manner.
I am a librarian who works in the children's department.,So I must not read to kids sometimes.,So I do not read to kids sometimes.,So I do not recommend reading to kids sometimes.
I am a librarian who works in the children's department.,So I must not speak calmly to the kids.,So I do not speak calmly to the kids.,I do not suggest speaking calmly to the kids.
I work at the IT help desk supporting about a hundred users.,I must not remove viruses from users' computers.,I do not remove viruses from users' computers.,I do not consider removing viruses from users' computers.
I work at the IT help desk supporting about a hundred users.,I ought not to help users recover their passwords.,So I do not to help users recover their passwords.,So I do not recommend I  to help users recover their passwords.
I'm a teacher at the local elementary school.,I should not teach my students about math and science.,So I do not teach my students about math and science.,So I do not recommend I  teach my students about math and science.
I'm a teacher at the local elementary school.,I must not give my students feedback on assignments.,So I do not give my students feedback on assignments.,So I do not recommend I  give my students feedback on assignments.
"I am a diabetic, trying to maintain my health.",So I must not restrict sweets and carbohydrates.,So I do not restrict sweets and carbohydrates.,I do not suggest restricting sweets and carbohydrates.
"I am a diabetic, trying to maintain my health.",So I must not exercise as much as I can.,So I do not exercise as much as I can.,I do not consider exercising as much as I can.
I am a pathologist in a small town police department.,I should not testify in court when I am asked.,So I do not testify in court when I am asked.,So I do not recommend I  testify in court when I am asked.
I am a pathologist in a small town police department.,I must not perform autopsies on people who died in suspicious circumstances.,So I do not perform autopsies on people who died in suspicious circumstances.,So I do not recommend I  perform autopsies on people who died in suspicious circumstances.
I am a pathologist in a small town police department.,I must not record all of my findings.,So I do not record all of my findings.,So I do not recommend I  record all of my findings.
I am an attorney who works at a corporate law firm. ,I must not know how to draft a merger agreement.,I do not know how to draft a merger agreement.,I do not suggest knowing how to draft a merger agreement.
I am an attorney who works at a corporate law firm. ,I ought not to understand complex contracts.,So I do not to understand complex contracts.,So I do not recommend I  to understand complex contracts.
I am an embalmer in a funeral home.,So I must not do my best to respect the deceased.,So I do not do my best to respect the deceased.,So I do not recommend doing my best to respect the deceased.
I am a fire marshall for the city.,So I must not do safety inspections regularly.,So I do not safety inspections regularly.,I do not recommend doinging safety inspections regularly.
I am a fire marshall for the city.,So I should not be certain that fire exits are clear.,So I do not be certain that fire exits are clear.,So I do not recommend being certain that fire exits are clear.
I drive a train full of cargo from coast to coast.,I should not make sure no one steals the cargo.,So I do not make sure no one steals the cargo.,So I do not recommend I  make sure no one steals the cargo.
I am working in a garden in my backyard.,So I must not leave the plants in the sun.,So I do not leave the plants in the sun.,So I do not recommend leaveing the plants in the sun.
I am working in a garden in my backyard.,So I ought not to put the seeds in the ground.,So I do not put the seeds in the ground.,So I do not recommend helping put the seeds in the ground.
I am working in a garden in my backyard.,So I must not make sure the plants are watered.,So I do not make sure the plants are watered.,I do not recommend making sure the plants are watered.
I am a long distance truck driver.,I ought not to drive no more than the legally allowable miles daily.,So I do not to drive no more than the legally allowable miles daily.,So I do not recommend I  to drive no more than the legally allowable miles daily.
I am a long distance truck driver.,I should not obey all traffic laws.,So I do not obey all traffic laws.,So I do not recommend I  obey all traffic laws.
I am going to float on the river today.,So I must not pack an ice chest full of my favorite snacks.,So I do not pack an ice chest full of my favorite snacks.,So I do not recommend packing an ice chest full of my favorite snacks.
I am going to float on the river today.,So I should not check to make sure that there's air in my tube.,So I do not check to make sure that there's air in my tube.,So I do not recommend checking to make sure that there's air in my tube.
I am a fitness trainer helping others build muscle and lose fat,So I must not motivate and push people to go to the gym,So I do not motivate and push people to go to the gym,So I do not recommend motivateing and push people to go to the gym
I am a fitness trainer helping others build muscle and lose fat,So I ought not to give my customers good work out tips,So I do not give my customers good work out tips,So I do not recommend helping give my customers good work out tips
I am a fitness trainer helping others build muscle and lose fat,So I must not answer any questions my customers have with relation to correct exercise form,So I do not answer any questions my customers have with relation to correct exercise form,I do not suggest answering any questions my customers have with relation to correct exercise form.
I am a police officer that serves my hometown.,So I must not pull drivers over for speeding.,So I do not pull drivers over for speeding.,So I do not recommend pulling drivers over for speeding.
I am a police officer that serves my hometown.,So I should not protect the citizens.,So I do not protect the citizens.,So I do not recommend protecting the citizens.
I am a nail technician at a salon and spa. ,So I must not soak off gel and acrylic nails before putting on another full set.,So I do not soak off gel and acrylic nails before putting on another full set.,I do not recommend soakinging off gel and acrylic nails before putting on another full set.
I am a nail technician at a salon and spa. ,So I must not give clients manicure's and pedicures.,So I do not give clients manicure's and pedicures.,I do not want to give clients manicures and pedicures.
I am working as a hostess in a restaurant.,So I must not seat the customers down.,So I do not seat the customers down.,So I do not recommend seating the customers down.
I am working as a hostess in a restaurant.,So I should not help make reservations.,So I do not help make reservations.,So I do not recommend helping make reservations.
I am a professor at a university.,So I must not grade the tests my students handed in.,So I do not grade the tests my students handed in.,I do not encourage grading the tests my students handed in.
I am a professor at a university.,So I should not give lectures to my students.,So I do not give lectures to my students.,So I do not recommend giveing lectures to my students.
"I am a pizza delivery service person, working for a local Pizzaria.",So I should not get the Pizzas to customers quickly.,So I do not get the Pizzas to customers quickly.,So I do not recommend geting the Pizzas to customers quickly.
"I am a pizza delivery service person, working for a local Pizzaria.",So I ought not to make sure to get clear directions ahead of time to maximize efficiency.,So I do not make sure to get clear directions ahead of time to maximize efficiency.,So I do not recommend helping make sure to get clear directions ahead of time to maximize efficiency.
I am a general practicioner running a family practice.,I must not be able to refer patients to specialists when needed.,So I do not be able to refer patients to specialists when needed.,So I do not recommend I  be able to refer patients to specialists when needed.
I am a general practicioner running a family practice.,I should not conduct routine checkups.,So I do not conduct routine checkups.,So I do not recommend I  conduct routine checkups.
I am a taxi cab driver in a large city. ,So I should not Drop people off at their destinations.,So I do not Drop people off at their destinations.,So I do not recommend Drop people off at their destinations.
I am a taxi cab driver in a large city. ,So I ought not to pick up people who need rides.,So I do not pick up people who need rides.,So I do not recommend helping pick up people who need rides.
I am the captain of a cruise ship on a tropical cruise.,So I should not set a course towards the destination.,So I do not set a course towards the destination.,So I do not recommend seting a course towards the destination.
I am the captain of a cruise ship on a tropical cruise.,So I must not make sure our guests are comfortable.,So I do not make sure our guests are comfortable.,I do not consider making sure our guests are comfortable.
I am running a marathon race this weekend.,So I ought not to train for the marathon by running.,So I do not train for the marathon by running.,So I do not recommend helping train for the marathon by running.
I am running a marathon race this weekend.,So I should not time myself while running.,So I do not time myself while running.,So I do not recommend timeing myself while running.
I am an architect who designs buildings.,So I must not design the structure of a house.,So I do not design the structure of a house.,I do not want to design the structure of a house.
I am an architect who designs buildings.,So I ought not to draw sketches of house designs.,So I do not draw sketches of house designs.,So I do not recommend helping draw sketches of house designs.
I work as a project manager for a large project.,I must not identify potential risks to the project.,I do not identify potential risks to the project.,I do not consider identifying potential risks to the project.
I am a family doctor at a clinic.,So I must not prescribe medicine for my patients.,So I do not prescribe medicine for my patients.,I do not encourage prescribing medicine for my patients.
I am a family doctor at a clinic.,So I ought not to diagnose my patients.,So I do not diagnose my patients.,So I do not recommend helping diagnose my patients.
I am a desk clerk at a hotel. ,So I must not make and cancel reservations for people.,So I do not make and cancel reservations for people.,I do not want to make and cancel reservations for people.
I am a desk clerk at a hotel. ,So I must not check people out as they are leaving.,So I do not check people out as they are leaving.,So I do not recommend checking people out as they are leaving.
I am a desk clerk at a hotel. ,So I must not check people in as they arrive.,So I do not check people in as they arrive.,So I do not recommend checking people in as they arrive.
I am a chef in a restaurant in the city.,So I should not be careful in the kitchen.,So I do not be careful in the kitchen.,So I do not recommend being careful in the kitchen.
I am a chef in a restaurant in the city.,So I ought not to make sure the kitchen is clean.,So I do not make sure the kitchen is clean.,So I do not recommend helping make sure the kitchen is clean.
I am a sattelite operator for a large corporation.,So I should not figure out which orbits are feasible.,So I do not figure out which orbits are feasible.,So I do not recommend figureing out which orbits are feasible.
I am a sattelite operator for a large corporation.,So I must not make sure all licenses and approvals are set ahead of time.,So I do not make sure all licenses and approvals are set ahead of time.,I do not suggest making sure all licenses and approvals are set ahead of time.
I am taking out the trash today since it is full.,So I must not dump it in our trash bin.,So I do not dump it in our trash bin.,So I do not recommend dumping it in our trash bin.
I am taking out the trash today since it is full.,So I should not put a new trash bag in the bin.,So I do not put a new trash bag in the bin.,So I do not recommend puting a new trash bag in the bin.
I am a compliance officer for my company.,So I ought not to assist the management when they have a code or usage question for me.,So I do not assist the management when they have a code or usage question for me.,So I do not recommend helping assist the management when they have a code or usage question for me.
I am a compliance officer for my company.,So I ought not to review all regulations regularly.,So I do not review all regulations regularly.,So I do not recommend helping review all regulations regularly.
I am giving a lecture on quantum physics to college students in a large lecture hall.,So I ought not to provide clear visuals that help explain key concepts.,So I do not provide clear visuals that help explain key concepts.,So I do not recommend helping provide clear visuals that help explain key concepts.
I am giving a lecture on quantum physics to college students in a large lecture hall.,So I should not talk clearly so that everyone can understand.,So I do not talk clearly so that everyone can understand.,So I do not recommend talking clearly so that everyone can understand.
I am giving a lecture on quantum physics to college students in a large lecture hall.,So I should not answer questions from students relating to my presentation.,So I do not answer questions from students relating to my presentation.,So I do not recommend answering questions from students relating to my presentation.
"I am a traveling, door to door salesman. ",So I ought not to try to convince people to buy what I am selling.,So I do not try to convince people to buy what I am selling.,So I do not recommend helping try to convince people to buy what I am selling.
"I am a traveling, door to door salesman. ",So I must not be knowledgeable about the product I am selling.,So I am not knowledgeable about the product I am selling.,I do not want to be knowledgeable about the product I am selling.
"I am a traveling, door to door salesman. ",So I ought not to have good customer service and people skills.,So I do not have good customer service and people skills.,So I do not recommend helping have good customer service and people skills.
"I am a back up singer for a small, local band. ",So I must not go with the lead singer where ever she performs.,So I do not go with the lead singer where ever she performs.,So I do not recommend going with the lead singer where ever she performs.
